entropy_threshold,coherence_threshold,entanglement_strength,buffer_size,max_risk_per_trade,trailing_stop_pips,take_profit_ratio,position_cooldown_minutes,the5ers_score,total_return_pct,max_drawdown,win_rate,total_trades,execution_time
0.7,0.8,1.0,50,1.5,25,2.0,30,0.0,0.0,0.0,0.0,0,0.17416048049926758
0.3,0.5,1.5,30,2.5,20,2.5,15,0.0,0.0,0.0,0.0,0,0.16197752952575684
0.5,0.7,1.2,40,2.0,25,2.5,20,0.0,0.0,0.0,0.0,0,0.21189355850219727
0.1,0.3,2.0,30,2.0,15,1.5,45,0.0,0.0,0.0,0.0,0,0.23018908500671387
0.1,0.8,2.0,100,1.0,30,2.5,5,0.0,0.0,0.0,0.0,0,0.21603155136108398
0.05,0.3,0.8,25,0.5,30,1.5,45,0.0,0.0,0.0,0.0,0,0.2589693069458008
0.8,0.6,0.8,70,2.5,40,4.0,5,0.0,0.0,0.0,0.0,0,0.21429848670959473
0.2,0.8,1.2,40,2.5,15,1.5,60,0.0,0.0,0.0,0.0,0,0.18043756484985352
0.5,0.3,0.5,50,1.0,20,4.0,15,0.0,0.0,0.0,0.0,0,0.19123530387878418
0.9,0.5,2.5,10,4.0,30,1.2,20,0.0,0.0,0.0,0.0,0,0.19024157524108887
0.1,0.7,1.0,40,2.0,35,1.2,5,0.0,0.0,0.0,0.0,0,0.18759536743164062
0.3,0.9,1.0,15,2.0,40,1.2,20,0.0,0.0,0.0,0.0,0,0.20138192176818848
0.4,0.6,2.0,40,1.5,20,2.0,10,0.0,0.0,0.0,0.0,0,0.2730696201324463
0.4,0.8,2.0,15,1.5,30,3.5,10,0.0,0.0,0.0,0.0,0,0.18811893463134766
0.2,0.6,1.2,30,2.0,35,2.0,60,0.0,0.0,0.0,0.0,0,0.21705269813537598
0.05,0.4,2.5,10,3.0,25,2.0,5,0.0,0.0,0.0,0.0,0,0.1914072036743164
0.3,0.7,2.0,40,2.0,35,2.5,20,0.0,0.0,0.0,0.0,0,0.2110733985900879
0.7,0.4,1.0,20,2.0,35,3.0,30,0.0,0.0,0.0,0.0,0,0.18756651878356934
0.4,0.8,1.5,50,3.5,20,1.5,10,0.0,0.0,0.0,0.0,0,0.20107626914978027
0.8,0.6,0.5,10,1.0,15,3.5,10,0.0,0.0,0.0,0.0,0,0.17089271545410156
0.6,0.7,0.5,50,3.5,30,2.5,30,0.0,0.0,0.0,0.0,0,0.1645674705505371
0.4,0.7,2.5,10,1.0,35,3.0,60,0.0,0.0,0.0,0.0,0,0.1670246124267578
0.4,0.9,2.0,40,1.0,20,2.5,10,0.0,0.0,0.0,0.0,0,0.16464805603027344
0.7,0.3,2.0,30,1.5,30,1.2,60,0.0,0.0,0.0,0.0,0,0.1645660400390625
0.4,0.9,2.0,100,2.0,15,2.0,60,0.0,0.0,0.0,0.0,0,0.16703152656555176
